implementation,msg_size,thread_count,throughput_gbps,latency_us,total_bytes,total_msgs,cycles,l1_cache_misses,llc_cache_misses,context_switches
two_copy,1024,1,4.7784,1.67,5973002240,5833010,44298704788,1355217041,0,112435
two_copy,1024,2,4.3549,3.71,5443660800,5316075,69624760218,1972353510,0,1045318
two_copy,1024,4,9.3742,3.45,11717699584,11443066,140437766440,3963320820,0,1895182
two_copy,1024,8,26.8524,2.39,33565484032,32778793,337099510248,10214234455,0,563201
two_copy,4096,1,3.9446,8.26,4930785280,1203805,30298793364,929606978,0,711112
two_copy,4096,2,7.1645,9.10,8955633664,2186434,54418550007,1672917415,0,1643674
two_copy,4096,4,14.4076,9.04,18009538560,4396860,117485249687,3375278746,0,2509493
two_copy,4096,8,37.2846,6.98,46605733888,11378353,267103332757,7201061291,0,2105530
two_copy,65536,1,10.7209,48.82,13401128960,204485,24723768431,796051037,0,213288
two_copy,65536,2,21.1405,49.51,26425622528,403223,49803214371,1579994492,0,435102
two_copy,65536,4,38.9824,53.71,48728047616,743531,100299740214,2943379236,0,774042
two_copy,65536,8,69.1391,60.59,86423896064,1318724,202243968086,5366846544,0,878964
two_copy,1048576,1,12.1257,691.72,15157166080,14455,26710973346,842987554,0,242721
two_copy,1048576,2,22.6895,739.38,28361883648,27048,51088034834,1595569057,0,451407
two_copy,1048576,4,44.0402,761.84,55050240000,52500,107366898882,3123572797,0,853238
two_copy,1048576,8,50.4474,1330.18,63059263488,60138,226770019847,3335353500,0,567135
one_copy,1024,1,1.9344,4.18,2418032640,2361360,32453435614,880153038,0,593132
one_copy,1024,2,3.8467,4.21,4808380416,4695684,64770207025,1782300569,0,1185427
one_copy,1024,4,7.0840,4.57,8854940672,8647403,126595961771,3237920369,0,1627504
one_copy,1024,8,15.3376,4.21,19172018176,18722674,247119073451,6794221701,0,2179839
one_copy,4096,1,3.4066,9.57,4258258944,1039614,24212732574,760866532,0,966019
one_copy,4096,2,7.0131,9.29,8766435328,2140243,49653568801,1582605798,0,1878634
one_copy,4096,4,13.6835,9.53,17104400384,4175879,102005018675,3187780795,0,3328111
one_copy,4096,8,30.1168,8.64,37646061568,9190933,226350073901,6288969766,0,3009826
one_copy,65536,1,11.0644,47.30,13830520832,211037,24885135732,816436430,0,229592
one_copy,65536,2,21.7873,48.05,27234074624,415559,49808231028,1620575220,0,449582
one_copy,65536,4,42.9614,48.73,53701771264,819424,100528271629,3218773154,0,889593
one_copy,65536,8,68.6582,61.00,85822734336,1309551,186265292886,5282262237,0,1160907
one_copy,1048576,1,12.5997,665.71,15749611520,15020,26965091233,875335575,0,251777
one_copy,1048576,2,25.4879,658.17,31859933184,30384,55238437542,1781627022,0,508766
one_copy,1048576,4,48.4065,693.12,60508078080,57705,111228622617,3461652149,0,931450
one_copy,1048576,8,61.4088,1092.76,76761006080,73205,208605664699,4426978529,0,803350
zero_copy,1024,1,1.2428,6.54,1553488896,1517079,26856865883,776277813,0,842098
zero_copy,1024,2,2.4593,6.61,3074152448,3002102,53041521550,1570175019,0,1719068
zero_copy,1024,4,4.6127,7.05,5765824512,5630688,103668352121,2993598361,0,3209825
zero_copy,1024,8,6.8182,9.55,8522740736,8322989,181406275961,4874327115,0,5201752
zero_copy,4096,1,2.6635,12.25,3329372160,812835,27479938058,836972576,0,800114
zero_copy,4096,2,5.3251,12.25,6656327680,1625080,54413589709,1659672953,0,1589134
zero_copy,4096,4,10.2657,12.71,12832079872,3132832,102466122269,3140791657,0,3075449
zero_copy,4096,8,15.8738,16.45,19842277376,4844306,188340896917,5264719261,0,4583879
zero_copy,65536,1,7.8863,66.43,9857925120,150420,28274878457,788812883,0,449228
zero_copy,65536,2,15.5371,67.43,19421396992,296347,55076850892,1544291533,0,837814
zero_copy,65536,4,30.1563,69.49,37695324160,575185,111677560206,3077558012,0,1678570
zero_copy,65536,8,44.7586,93.65,55948279808,853703,205779600821,5744548509,0,2239770
zero_copy,1048576,1,9.4657,886.13,11832131584,11284,27837552840,703917857,0,194245
zero_copy,1048576,2,18.9171,886.86,23646437376,22551,56247877365,1444857041,0,380758
zero_copy,1048576,4,35.3253,949.83,44156583936,42111,114679151131,3131315716,0,714696
zero_copy,1048576,8,48.3402,1388.22,60425240576,57626,236441900764,5717356358,0,798273
